trait_a,trait_b,scheme,alpha,cos,regime,coh_steered,delta_a_single,delta_b_single,delta_a_joint,delta_b_joint,pair,pair_key,cos_abs,mean_joint_abs,mean_single_abs,min_single_abs,max_single_abs,mechanical_push,sem_sim
apathetic,confidence,normFalse,4.0,0.0143,dominant,55.56,32.65,20.08,57.13,-12.84,"('apathetic', 'confidence')",apathetic|confidence,0.0143,34.985,26.365,20.08,32.65,4.0572,0.2401042572847261
apathetic,formality,normFalse,4.0,0.015,mixed,80.87,21.48,7.85,64.24,3.22,"('apathetic', 'formality')",apathetic|formality,0.015,33.73,14.665,7.85,21.48,4.06,0.2463475771338999
apathetic,hallucinating,normFalse,4.0,-0.1642,emergent,59.95,23.64,28.16,43.39,48.76,"('apathetic', 'hallucinating')",apathetic|hallucinating,0.1642,46.075,25.9,23.64,28.16,3.3432,0.1981125750075286
apathetic,power_seeking,normFalse,4.0,0.0063,additive,81.73,34.56,-8.23,40.38,-9.46,"('apathetic', 'power_seeking')",apathetic|power_seeking,0.0063,24.92,21.395000000000003,8.23,34.56,4.0252,0.2912666989062864
apathetic,sycophantic,normFalse,4.0,0.0503,mixed,43.79,34.05,69.07,62.99,31.84,"('apathetic', 'sycophantic')",apathetic|sycophantic,0.0503,47.415,51.559999999999995,34.05,69.07,4.2012,0.3440802332491053
confidence,evil,normFalse,4.0,0.2294,dominant,34.45,24.39,37.09,-14.58,64.31,"('confidence', 'evil')",confidence|evil,0.2294,39.445,30.740000000000002,24.39,37.09,4.9176,0.20918400458480185
confidence,formality,normFalse,4.0,0.2262,mixed,78.46,17.56,5.6,10.44,2.64,"('confidence', 'formality')",confidence|formality,0.2262,6.54,11.579999999999998,5.6,17.56,4.9048,0.39834593338417235
confidence,hallucinating,normFalse,4.0,0.27,mixed,50.55,23.27,33.45,9.45,66.51,"('confidence', 'hallucinating')",confidence|hallucinating,0.27,37.980000000000004,28.36,23.27,33.45,5.08,0.25190109092575663
confidence,humorous,normFalse,4.0,-0.0802,dominant,42.24,13.43,76.42,-31.72,54.28,"('confidence', 'humorous')",confidence|humorous,0.0802,43.0,44.925,13.43,76.42,3.6792,0.24149966806756734
confidence,impolite,normFalse,4.0,0.1573,dominant,39.48,14.52,53.41,-27.36,66.82,"('confidence', 'impolite')",confidence|impolite,0.1573,47.089999999999996,33.964999999999996,14.52,53.41,4.6292,0.2681074093085094
confidence,power_seeking,normFalse,4.0,0.269,mixed,95.43,23.39,-10.03,12.47,-9.59,"('confidence', 'power_seeking')",confidence|power_seeking,0.269,11.030000000000001,16.71,10.03,23.39,5.0760000000000005,0.328168820154478
confidence,sycophantic,normFalse,4.0,0.3546,mixed,58.25,29.26,65.08,30.13,87.26,"('confidence', 'sycophantic')",confidence|sycophantic,0.3546,58.695,47.17,29.26,65.08,5.4184,0.27408900642658407
evil,formality,normFalse,4.0,-0.1059,suppressive,59.27,46.6,4.0,14.32,-7.8,"('evil', 'formality')",evil|formality,0.1059,11.06,25.3,4.0,46.6,3.5764,0.19566359338519035
evil,power_seeking,normFalse,4.0,0.4793,mixed,90.77,57.48,-12.47,0.54,-7.58,"('evil', 'power_seeking')",evil|power_seeking,0.4793,4.0600000000000005,34.975,12.47,57.48,5.9172,0.36367722746121073
formality,hallucinating,normFalse,4.0,0.1033,mixed,61.87,6.92,34.02,4.28,58.93,"('formality', 'hallucinating')",formality|hallucinating,0.1033,31.605,20.470000000000002,6.92,34.02,4.4132,0.2226746986620209
formality,humorous,normFalse,4.0,-0.5225,suppressive,86.22,5.03,72.45,0.16,-0.11,"('formality', 'humorous')",formality|humorous,0.5225,0.135,38.74,5.03,72.45,1.9100000000000001,0.4142879153442708
formality,impolite,normFalse,4.0,-0.23,suppressive,77.12,4.56,58.54,0.8,10.35,"('formality', 'impolite')",formality|impolite,0.23,5.575,31.55,4.56,58.54,3.08,0.32398625951242505
formality,power_seeking,normFalse,4.0,0.1832,additive,95.96,5.19,-10.76,5.08,-12.59,"('formality', 'power_seeking')",formality|power_seeking,0.1832,8.835,7.975,5.19,10.76,4.7328,0.23505971847124593
formality,sycophantic,normFalse,4.0,-0.1252,dominant,70.57,4.88,63.52,1.0,48.84,"('formality', 'sycophantic')",formality|sycophantic,0.1252,24.92,34.2,4.88,63.52,3.4992,0.2730349653806381
hallucinating,impolite,normFalse,4.0,-0.0508,emergent,31.77,33.94,46.48,68.2,69.96,"('hallucinating', 'impolite')",hallucinating|impolite,0.0508,69.08,40.209999999999994,33.94,46.48,3.7968,0.1855642810970446
hallucinating,power_seeking,normFalse,4.0,0.3026,mixed,91.41,45.36,-10.68,14.54,-10.69,"('hallucinating', 'power_seeking')",hallucinating|power_seeking,0.3026,12.614999999999998,28.02,10.68,45.36,5.2104,0.20477889531164822
hallucinating,sycophantic,normFalse,4.0,0.247,emergent,45.15,27.61,50.53,68.9,83.44,"('hallucinating', 'sycophantic')",hallucinating|sycophantic,0.247,76.17,39.07,27.61,50.53,4.9879999999999995,0.31809495796511095
humorous,power_seeking,normFalse,4.0,0.0727,additive,69.51,74.91,-8.3,55.76,-8.61,"('humorous', 'power_seeking')",humorous|power_seeking,0.0727,32.185,41.605,8.3,74.91,4.2908,0.19097063177695053
impolite,power_seeking,normFalse,4.0,0.0946,mixed,71.52,58.64,-7.92,37.26,-5.99,"('impolite', 'power_seeking')",impolite|power_seeking,0.0946,21.625,33.28,7.92,58.64,4.3784,0.2347025517270571
impolite,sycophantic,normFalse,4.0,0.2889,mixed,33.47,61.39,57.79,84.8,39.0,"('impolite', 'sycophantic')",impolite|sycophantic,0.2889,61.9,59.59,57.79,61.39,5.1556,0.36965515588341324
power_seeking,sycophantic,normFalse,4.0,0.1782,mixed,94.57,-8.23,65.62,-7.77,43.06,"('power_seeking', 'sycophantic')",power_seeking|sycophantic,0.1782,25.415,36.925000000000004,8.23,65.62,4.7128,0.3004884372864142
apathetic,confidence,normTrue,4.5,0.0143,dominant,79.8,41.36,21.87,33.25,4.61,"('apathetic', 'confidence')",apathetic|confidence,0.0143,18.93,31.615000000000002,21.87,41.36,3.2046509170266892,0.2401042572847261
apathetic,evil,normTrue,4.5,0.2578,dominant,50.35,45.5,63.48,58.34,13.79,"('apathetic', 'evil')",apathetic|evil,0.2578,36.065,54.489999999999995,45.5,63.48,3.5686447007232314,0.32147504484626166
